;R;D100;C100;D50;C50
0;0.0;0.6340656319336327;1.0;0.9418643406273509;0.9891133750290991
1;0.00202020202020202;0.6282870083671052;0.9975505783350768;0.9405130165543546;0.9886770065573287
2;0.00404040404040404;0.6304963898436883;0.9918445908570895;0.956361161604255;1.0
3;0.0060606060606060615;0.6335822297623235;0.9923076893603273;0.9713557710467975;0.9989864270909261
4;0.00808080808080808;0.6384038781643219;0.9908231422839783;0.9867238359688764;0.9962190542061646
5;0.010101010101010102;0.6432615738911448;0.987743300243852;0.9961852550671046;0.9936574425029043
6;0.012121212121212123;0.649763849262292;0.9864041675550884;1.0;0.9937603535363565
7;0.014141414141414142;0.6587514909659132;0.9846767742995008;0.9948280089988532;0.9922446099615249
8;0.01616161616161616;0.6689479993420838;0.9831520880872712;0.9775943752294004;0.9896456566307399
9;0.01818181818181818;0.6798227313202633;0.981006847731453;0.9466165451414794;0.9878593071432639
10;0.020202020202020204;0.6915855123572041;0.9769874928834823;0.9032809146081174;0.983891558867961
11;0.022222222222222223;0.7047679289623018;0.972516502110933;0.8480176989449488;0.9804393825413308
12;0.024242424242424246;0.7200790635452988;0.9693535301895095;0.7815048400696388;0.9779382249759226
13;0.026262626262626265;0.7364624503081545;0.9661726368845662;0.7088497800021607;0.974183661840911
14;0.028282828282828285;0.7540011371480094;0.961656289916463;0.6356183854810639;0.970103065653162
15;0.030303030303030304;0.7727821932050106;0.958153684226287;0.5647165907153204;0.9666898497136631
16;0.03232323232323232;0.7938552090068384;0.9533402957757406;0.5085368695264602;0.9619557760518929
17;0.03434343434343435;0.8162515358045311;0.9483806134678412;0.45201620401582715;0.956969072245814
18;0.03636363636363636;0.8404740258625931;0.9425322004472637;0.3923950716047267;0.9521580540054757
19;0.03838383838383839;0.8655491260481734;0.9373890722695775;0.33047188171090375;0.9470610791163534
20;0.04040404040404041;0.8900968744468016;0.931422601582189;0.26854464658236477;0.9417873409112307
21;0.04242424242424243;0.9146177625826579;0.9257657038980076;0.21034998073743358;0.9367168903717801
22;0.044444444444444446;0.9382830909463954;0.919341420504502;0.1604962316715591;0.9314773111948196
23;0.04646464646464647;0.958449656801282;0.9133507506505721;0.12160521672454966;0.9254117357317452
24;0.04848484848484849;0.9762245273522752;0.9066953872256004;0.08269265388705599;0.9193970125092901
25;0.050505050505050504;0.9893708453436426;0.9003968208440077;0.04789838391331007;0.9135607585678734
26;0.05252525252525253;0.9971381548816471;0.8933836423124017;0.022115101261102672;0.9071456751270557
27;0.05454545454545455;1.0;0.8871893184991718;0.007878507687752424;0.9009180277940158
28;0.05656565656565657;0.9961389987809535;0.8797352121593774;0.0029475490063159133;0.894090371735642
29;0.058585858585858595;0.9866917616233215;0.8726661153405757;0.0010716492638807274;0.8868537578828197
30;0.06060606060606061;0.9714239860468409;0.8651765448669291;0.0003433155342218737;0.8800214352729577
31;0.06262626262626263;0.951689906137867;0.8580440754744401;9.488955712436512e-05;0.8735292884652914
32;0.06464646464646465;0.9273686255549823;0.8503084432892102;1.795649755243168e-05;0.8662920046823114
33;0.06666666666666667;0.8992168408940012;0.8428588935864271;-1.8748294114027556e-06;0.8592826008938467
34;0.0686868686868687;0.8668684583783055;0.8347097631274321;-4.874929056296634e-06;0.8517812216604664
35;0.0707070707070707;0.8327322862443259;0.8274628529729617;-3.6854369367512564e-06;0.8448276584948259
36;0.07272727272727272;0.7964847699721017;0.8197058807730754;-2.146241655526708e-06;0.8377493696478118
37;0.07474747474747476;0.7584255340638179;0.8112839528327778;-1.158164785861278e-06;0.8301608609523903
38;0.07676767676767678;0.719595156506822;0.8033978501170018;-6.109417414010774e-07;0.8224569705975581
39;0.0787878787878788;0.6808217763444203;0.7953264314323895;-3.175918022725905e-07;0.8149817175382024
40;0.08080808080808081;0.6427382274315389;0.7868667659336614;-1.670819215013796e-07;0.8072593414468724
41;0.08282828282828283;0.6043893744023532;0.7794226438770648;-9.017441090861497e-08;0.8001048421384367
42;0.08484848484848485;0.5666609632758537;0.7715841751471662;-4.962048174232375e-08;0.7926407980485508
43;0.08686868686868686;0.5296410189209882;0.7633455944673289;-2.7755691106406474e-08;0.7849854600045824
44;0.08888888888888889;0.49398047617518875;0.7548796149237377;-1.5909678734234335e-08;0.7766632797211489
45;0.09090909090909091;0.4590132348979471;0.7469394255731645;-9.355216729421914e-09;0.7691120580475233
46;0.09292929292929294;0.424843984758352;0.7386256530956113;-5.568468325921326e-09;0.7614016032368366
47;0.09494949494949495;0.3916519553212764;0.730259956266965;-3.40414983626078e-09;0.753588576890087
48;0.09696969696969698;0.3600462620328161;0.7220082640387444;-2.1323961325171145e-09;0.7459917730695055
49;0.098989898989899;0.3288140132118111;0.7137739095750602;-1.371451363938223e-09;0.7382494456837261
50;0.10101010101010101;0.2987212171887319;0.7058392254505452;-8.943558523675772e-10;0.7307242287046237
51;0.10303030303030304;0.26947138418035227;0.6976978963552085;-5.982578118028785e-10;0.7230129261257351
52;0.10505050505050506;0.2405259138726436;0.6898501755889775;-4.052752190229921e-10;0.7157177241593039
53;0.10707070707070708;0.21180947879958187;0.6823820503065388;-2.806119225450927e-10;0.7084746678045584
54;0.1090909090909091;0.18417013667450244;0.6740084939324167;-1.9787717901753039e-10;0.7006566888633128
55;0.1111111111111111;0.1572458607982962;0.6659511606442722;-1.4244750551249015e-10;0.6930711953978369
56;0.11313131313131314;0.1318677388649621;0.6579760827077633;-1.0438459888192236e-10;0.6854392601402765
57;0.11515151515151516;0.10883266818438561;0.6499126065795877;-7.822418981216444e-11;0.6777646539096153
58;0.11717171717171719;0.08763360656880047;0.6421533483369083;-5.938172194168663e-11;0.6703239437967191
59;0.1191919191919192;0.06900722199114005;0.6345281133588713;-4.595206192613081e-11;0.6631565453117433
60;0.12121212121212122;0.05310853672681108;0.6265467151593126;-3.6109305681950255e-11;0.6555880740604653
61;0.12323232323232325;0.039920487552541205;0.6190904580089168;-2.881437565379726e-11;0.6484460050690991
62;0.12525252525252525;0.029156061544218168;0.6111683700814893;-2.3322468166578287e-11;0.6408484441475272
63;0.1272727272727273;0.020340341313201112;0.6036969595449454;-1.9200642750235233e-11;0.6337031742644205
64;0.1292929292929293;0.013664499532963035;0.5961376960492384;-1.6009357361065842e-11;0.6264683798858147
65;0.13131313131313133;0.008989583338637178;0.5887385606672152;-1.3543146242039448e-11;0.6194169373684855
66;0.13333333333333333;0.005624073498518146;0.5815403000464155;-1.1576015311906624e-11;0.6125279734228574
67;0.13535353535353536;0.0034585758470156965;0.5744706650742756;-1.0018003691181727e-11;0.6057501511486726
68;0.1373737373737374;0.002029110120697752;0.5670104987919556;-8.772031583926385e-12;0.5985731576193656
69;0.1393939393939394;0.0011619418586595502;0.5597318668764367;-7.739329756052036e-12;0.591481279555596
70;0.1414141414141414;0.0006599404165385539;0.553018023068016;-6.893166670565807e-12;0.584888383531217
71;0.14343434343434344;0.0003667221382867226;0.5457111747811438;-6.1945966081806805e-12;0.5776686010208553
72;0.14545454545454545;0.00019879940847233448;0.5388452907945354;-5.6093308688282136e-12;0.570974980342123
73;0.14747474747474748;0.00010481436763268279;0.5318654494568194;-5.10770626826373e-12;0.5642074542245533
74;0.14949494949494951;5.658915498017753e-05;0.5248567580799743;-4.681566033337072e-12;0.5574573127391552
75;0.15151515151515152;2.789119640173761e-05;0.5180123354717028;-4.319065188160615e-12;0.5507148973522713
76;0.15353535353535355;1.2591885991224431e-05;0.511299528703627;-4.005350548668606e-12;0.5441619616972325
77;0.15555555555555556;3.940754099037688e-06;0.5046698425847698;-3.725697037241684e-12;0.5375643964959578
78;0.1575757575757576;4.583510380712088e-07;0.4980640430255656;-3.4852485173175737e-12;0.53100118672774
79;0.1595959595959596;-1.3280418733469803e-06;0.4917344881333729;-3.269810856858919e-12;0.5247065572941352
80;0.16161616161616163;-1.7302422269583664e-06;0.48513848445777497;-3.080416890747968e-12;0.5181451547118284
81;0.16363636363636364;-1.8355965186047783e-06;0.4787112679741295;-2.9098452903707847e-12;0.5117071683424353
82;0.16565656565656567;-1.6239338448111886e-06;0.47263780748058665;-2.7576623182739165e-12;0.5056647411936401
83;0.1676767676767677;-1.3835889156302998e-06;0.4664580879621537;-2.6149217059068423e-12;0.49957215985004527
84;0.1696969696969697;-1.1009299595622046e-06;0.46018135043974295;-2.4910496418668777e-12;0.49331685154613947
85;0.1717171717171717;-8.607180763448344e-07;0.4542434718202308;-2.377037323817014e-12;0.4874367276842272
